customer_id,name,email,phone,industry,country,state,payment_terms_days,credit_limit,created_at
CUST-0019,Digital Partners,ap18@globalventures.com,+1-805-869-6335,Finance,DE,,30,274949.73,2024-06-05
CUST-0020,Global Corporation,ap19@cloudventures.com,+1-916-619-4446,Finance,US,FL,30,189479.05,2024-02-19
CUST-0021,Beta Systems,ap20@smartindustries.com,+1-657-282-9569,Retail,US,PA,45,123284.19,2024-09-14
CUST-0022,Pinnacle Services,ap21@betasolutions.com,+1-531-477-7254,Finance,CA,,30,204662.98,2023-05-18
CUST-0023,Quantum Ventures,ap22@summitcorporati.com,+1-338-708-5417,Retail,US,GA,15,109630.66,2023-08-16
CUST-0024,Elite Partners,ap23@quantumindustri.com,+1-798-877-6326,Technology,US,FL,30,142364.23,2024-02-23
CUST-0025,Smart Holdings,ap24@techholdings.com,+1-483-259-9342,Professional Services,US,NY,15,116801.21,2024-06-10
CUST-0026,Digital Group,ap25@globalenterpris.com,+1-313-535-7381,Healthcare,UK,,45,188071.36,2023-06-21
CUST-0027,Elite Enterprises,ap26@summitenterpris.com,+1-876-256-1986,Technology,US,TX,60,176554.81,2024-06-19
CUST-0028,Summit Enterprises,ap27@apexpartners.com,+1-526-770-8325,Retail,UK,,45,68975.24,2023-11-09
CUST-0029,Pinnacle Corporation,ap28@apexgroup.com,+1-760-821-4431,Manufacturing,US,CA,15,161828.58,2024-04-11
CUST-0030,Apex Industries,ap29@apexenterprises.com,+1-762-946-1800,Manufacturing,US,OH,30,231733.12,2024-01-02
CUST-0031,Elite Services,ap30@pinnaclepartner.com,+1-646-722-5122,Healthcare,US,FL,60,155069.12,2024-02-02
CUST-0032,Elite Enterprises,ap31@techholdings.com,+1-770-705-9929,Education,UK,,60,73252.57,2024-08-04
CUST-0033,Apex Corporation,ap32@summitindustrie.com,+1-793-501-2355,Education,US,IL,60,76614.99,2023-09-18
CUST-0034,Prime Partners,ap33@datasolutions.com,+1-863-917-2885,Manufacturing,US,NC,45,172218.82,2025-01-11
CUST-0035,Apex Technologies,ap34@alphalabs.com,+1-752-886-9357,Education,US,PA,45,51969.41,2023-11-20
CUST-0036,Vertex Ventures,ap35@cloudtechnologi.com,+1-296-724-3187,Manufacturing,US,WA,15,254110.57,2024-04-01
CUST-0037,Beta Partners,ap36@apexventures.com,+1-846-397-2637,Education,US,CA,45,119178.75,2024-01-09
CUST-0038,Elite Solutions,ap37@techlabs.com,+1-531-129-2297,Manufacturing,DE,,30,154843.92,2023-05-05
CUST-0039,Smart Enterprises,ap38@techventures.com,+1-854-404-8668,Finance,US,NC,15,204673.77,2023-10-20
CUST-0040,Data Systems,ap39@apexventures.com,+1-776-922-7084,Manufacturing,US,VA,60,216597.98,2024-09-06
CUST-0041,Prime Services,ap40@apexholdings.com,+1-679-791-6097,Education,CA,,45,69994.64,2023-07-01
CUST-0042,Alpha Labs,ap41@primesystems.com,+1-914-368-2747,Healthcare,US,WA,45,224118.81,2024-07-23
CUST-0043,Enterprise Labs,ap42@digitaltechnolo.com,+1-689-315-9598,Finance,CA,,30,374855.35,2024-07-01
CUST-0044,Beta Solutions,ap43@elitelabs.com,+1-225-974-5746,Retail,UK,,60,84510.14,2025-01-28
CUST-0045,Beta Systems,ap44@cloudgroup.com,+1-244-407-7463,Government,NL,,60,227362.4,2024-03-02
CUST-0046,Apex Group,ap45@techenterprises.com,+1-542-746-5085,Education,US,FL,60,110751.67,2024-10-09
CUST-0047,Global Partners,ap46@apexsolutions.com,+1-383-622-5297,Government,US,MA,45,263121.26,2023-10-30
CUST-0048,Alpha Corporation,ap47@datasolutions.com,+1-708-340-2493,Retail,US,CA,60,135636.99,2024-04-07
CUST-0049,Smart Enterprises,ap48@summitcorporati.com,+1-842-109-5931,Healthcare,US,VA,60,164831.2,2023-11-20
CUST-0050,Prime Services,ap49@enterpriseholdi.com,+1-967-891-4404,Manufacturing,CA,,60,218304.45,2024-09-23
CUST-0051,Digital Industries,ap50@eliteservices.com,+1-940-220-5446,Professional Services,US,GA,15,92747.38,2023-05-04
CUST-0052,Elite Ventures,ap51@alphagroup.com,+1-794-553-1231,Manufacturing,US,MI,45,226273.15,2023-06-01
CUST-0053,Beta Systems,ap52@primepartners.com,+1-361-585-6893,Education,UK,,60,109728.09,2023-04-26
CUST-0054,Tech Systems,ap53@summittechnolog.com,+1-363-312-7459,Manufacturing,AU,,60,114578.44,2024-01-10
CUST-0055,Digital Holdings,ap54@smartsystems.com,+1-684-266-4478,Finance,US,WA,15,398927.04,2024-06-07
CUST-0056,Cloud Group,ap55@enterpriseindus.com,+1-921-206-9586,Healthcare,UK,,45,187128.06,2023-09-08
CUST-0057,Prime Corporation,ap56@dataindustries.com,+1-503-736-9736,Finance,CA,,30,213632.55,2024-01-13
CUST-0058,Vertex Industries,ap57@techventures.com,+1-761-206-8522,Technology,US,CA,30,107693.59,2025-01-17
CUST-0059,Beta Corporation,ap58@pinnaclesystems.com,+1-438-704-5241,Government,CA,,45,476144.42,2023-11-28
CUST-0060,Alpha Labs,ap59@pinnacleholding.com,+1-270-478-8955,Professional Services,US,NC,15,115821.86,2023-03-13
CUST-0061,Quantum Labs,ap60@dataindustries.com,+1-630-150-6782,Education,US,PA,15,62543.25,2024-08-23
CUST-0062,Digital Labs,ap61@globalventures.com,+1-803-119-6198,Finance,US,FL,30,174403.83,2024-01-19
CUST-0063,Prime Holdings,ap62@primecorporatio.com,+1-473-607-1950,Education,UK,,15,108035.3,2024-08-09
CUST-0064,Data Partners,ap63@eliteventures.com,+1-708-261-3843,Finance,US,NC,30,189844.0,2024-06-23
CUST-0065,Smart Corporation,ap64@pinnaclelabs.com,+1-267-229-6677,Professional Services,US,MA,30,84674.27,2025-01-10
CUST-0066,Quantum Technologies,ap65@alphaenterprise.com,+1-953-181-9932,Healthcare,US,WA,60,210008.92,2023-11-19
CUST-0067,Beta Services,ap66@apexindustries.com,+1-575-644-8583,Professional Services,US,MA,30,99585.83,2023-04-02
CUST-0068,Prime Systems,ap67@globalenterpris.com,+1-623-923-7537,Education,US,FL,45,68390.28,2023-11-27
CUST-0069,Enterprise Ventures,ap68@quantumtechnolo.com,+1-728-412-9816,Technology,US,FL,30,92205.12,2023-09-24
CUST-0070,Summit Technologies,ap69@elitecorporatio.com,+1-630-163-6712,Professional Services,US,NC,15,139416.42,2023-03-16
CUST-0071,Elite Group,ap70@primetechnologi.com,+1-449-781-1441,Professional Services,US,NY,30,118022.61,2024-01-10
CUST-0072,Smart Group,ap71@techsystems.com,+1-315-682-6876,Professional Services,US,TX,15,60265.17,2024-10-15
CUST-0073,Enterprise Holdings,ap72@pinnacletechnol.com,+1-729-984-5179,Finance,UK,,30,170052.56,2024-10-14
CUST-0074,Cloud Technologies,ap73@datacorporation.com,+1-743-349-3682,Professional Services,FR,,30,95386.34,2024-01-25
CUST-0075,Summit Services,ap74@cloudsystems.com,+1-821-913-9366,Technology,UK,,60,142156.33,2023-07-16
CUST-0076,Global Industries,ap75@enterprisepartn.com,+1-610-720-7726,Finance,CA,,30,236448.71,2024-10-14
CUST-0077,Quantum Enterprises,ap76@elitelabs.com,+1-259-850-5075,Professional Services,US,CA,15,141441.98,2024-08-07
CUST-0078,Cloud Services,ap77@summitlabs.com,+1-669-420-3621,Manufacturing,US,VA,60,246156.98,2023-02-09
CUST-0079,Pinnacle Labs,ap78@elitesolutions.com,+1-829-147-3582,Finance,US,WA,15,344825.87,2023-08-31
CUST-0080,Elite Group,ap79@quantumholdings.com,+1-705-891-8887,Finance,US,GA,15,395665.86,2023-10-06
CUST-0081,Quantum Solutions,ap80@alphapartners.com,+1-891-715-9033,Retail,US,TX,45,63894.29,2024-12-10
CUST-0082,Vertex Solutions,ap81@alphaventures.com,+1-703-614-9774,Manufacturing,US,WA,45,147186.18,2024-11-26
CUST-0083,Quantum Solutions,ap82@pinnaclesystems.com,+1-826-476-5428,Government,US,IL,60,383496.07,2023-10-28
CUST-0084,Summit Group,ap83@smartventures.com,+1-800-165-7227,Finance,US,PA,15,314478.12,2024-10-02
CUST-0085,Prime Holdings,ap84@eliteholdings.com,+1-820-802-5780,Professional Services,UK,,30,102289.45,2023-02-10
CUST-0086,Prime Enterprises,ap85@alphacorporatio.com,+1-412-815-7695,Healthcare,US,VA,60,288073.78,2023-08-04
CUST-0087,Tech Corporation,ap86@betaventures.com,+1-493-703-1446,Education,DE,,60,103255.1,2024-08-22
CUST-0088,Data Group,ap87@dataindustries.com,+1-718-476-7748,Finance,US,CA,30,331145.45,2024-03-24
CUST-0089,Pinnacle Services,ap88@vertextechnolog.com,+1-287-105-5742,Manufacturing,CA,,45,137770.59,2023-05-10
CUST-0090,Global Corporation,ap89@enterpriselabs.com,+1-861-656-9708,Education,US,NC,45,104306.89,2024-07-26
CUST-0091,Cloud Solutions,ap90@smartsystems.com,+1-704-783-2056,Technology,CA,,45,140802.91,2025-01-04
CUST-0092,Quantum Enterprises,ap91@vertexgroup.com,+1-500-201-2637,Manufacturing,NL,,60,256110.12,2025-01-06
CUST-0093,Elite Systems,ap92@techsolutions.com,+1-986-132-7463,Finance,US,PA,30,398200.87,2024-02-16
CUST-0094,Elite Holdings,ap93@datacorporation.com,+1-263-511-7725,Technology,UK,,30,199413.08,2024-10-31
CUST-0095,Vertex Industries,ap94@pinnacleventure.com,+1-334-683-2747,Healthcare,AU,,60,255243.81,2024-08-17
CUST-0096,Summit Labs,ap95@globalindustrie.com,+1-230-168-7023,Professional Services,US,MA,30,54546.08,2024-02-01
CUST-0097,Beta Enterprises,ap96@techsolutions.com,+1-446-361-9944,Government,UK,,45,298834.16,2023-05-12
CUST-0098,Enterprise Services,ap97@summittechnolog.com,+1-591-788-5646,Technology,UK,,45,77301.88,2024-09-17
CUST-0099,Summit Enterprises,ap98@pinnacleholding.com,+1-810-516-7083,Retail,UK,,15,105069.87,2023-05-09
CUST-0100,Alpha Corporation,ap99@pinnaclesystems.com,+1-960-236-6554,Technology,UK,,15,82054.0,2023-10-05
